algorithm,silhouette_score,top2_share_pct,singleton_clusters,personal_cluster,personal_signature
gmm_current,,67.42,2,,See note.ipynb / gmm_predict.py for current dynamic interpretation
kmeans,0.1248,68.18,3,0.0,외식(20%) · 커피/음료(9%) · 화장품소매(6%)
agglomerative,0.1391,66.66,1,2.0,외식(20%) · 커피/음료(9%) · 자동차/유지비(7%)
